branch;chainage;type_code;station_label;dfs0
GO27_28;15183.0;0;Song Doc ;.\H_boudary_2011.dfs0
GO69_70;18528.0;0;Song Doc ;.\H_boudary_2011.dfs0
Ham Luong;75388.0;0;An Thuan ;.\H_boudary_2011.dfs0
HANGMAI;0.0;0;Song Doc ;.\H_boudary_2011.dfs0
Hon Soc;12300.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K. Bien Nhi;17114.0;0;Song Doc ;.\H_boudary_2011.dfs0
K. Cai Cung;13388.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K. Chua Phat;11937.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K. Dong Cung;14441.0;0;Song Doc ;.\H_boudary_2011.dfs0
K. DuongRung;0.0;0;Rach Gia;.\H_boudary_2011.dfs0
K. Hoa Phu;8629.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K. Kim Quy;12173.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K. Vinh My ngoai;12215.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K. Xeo Doi1;0.0;0;Rach Gia;.\H_boudary_2011.dfs0
K. Xeo La;10690.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K. Xeo Nhao;14247.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K. Xeo Vet1;0.0;0;Rach Gia;.\H_boudary_2011.dfs0
K.13;0.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K.2;1821.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K.GIUAXEOQUAN_XEOQUAO;0.0;0;Rach Gia;.\H_boudary_2011.dfs0
K.Lo;0.0;0;Ganh hao ;.\H_boudary_2011.dfs0
K.Moi;5975.0;0;Song Doc ;.\H_boudary_2011.dfs0
K.R.Trai;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K.Thu5_1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K285;6450.0;0;Rach Gia ;.\H_boudary_2011.dfs0
K286;7690.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Kenh T6 ND;7000.0;0;Rach Gia ;.\H_boudary_2011.dfs0
KENHTHUBA1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
KENHTHUHAI1;3836.0;0;Rach Gia ;.\H_boudary_2011.dfs0
KENHTHUSAU1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Kien Binh;7200.0;0;Rach Gia ;.\H_boudary_2011.dfs0
LANGSAC_CANAL;39146.0;0;Ben Trai ;.\H_boudary_2011.dfs0
Lung Lon;8100.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Lung Lon 2;14900.0;0;Rach Gia ;.\H_boudary_2011.dfs0
LungRanh;0.0;0;Song Doc ;.\H_boudary_2011.dfs0
LUNGROGHE1;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Luynh Huynh;9300.0;0;Rach Gia ;.\H_boudary_2011.dfs0
My Thanh;0.0;0;My Thanh ;.\H_boudary_2011.dfs0
Ong Doc;38134.0;0;Song Doc ;.\H_boudary_2011.dfs0
R. Ba Tinh;289.0;0;Song Doc;.\H_boudary_2011.dfs0
R. Sao Luoi;0.0;0;Song Doc;.\H_boudary_2011.dfs0
R. Thu Nhat;11222.0;0;Rach Gia ;.\H_boudary_2011.dfs0
R. Thuong Luong;700.0;0;Rach Gia;.\H_boudary_2011.dfs0
R.Dinh;0.0;0;Song Doc ;.\H_boudary_2011.dfs0
