tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
TanChau;2011-10-01 13:00:00;46800.0;29;1126;-32.2556;5.064;25767.08;0.09529;1.445;37.32;25767.08
MyThuan;2011-10-01 13:00:00;46800.0;32;1305;-25.7667;1.196;21789.047;0.09971;1.355;26.963;21789.047
VamNao;2011-10-01 13:00:00;46800.0;47;1510;-21.7944;4.621;8046.537;0.07814;0.9729;26.415;8046.537
ChauDoc;2011-10-01 14:00:00;50400.0;3;62;-18.895;5.749;8394.584;0.10481;1.3267;24.644;8394.584
CanTho;2011-10-01 14:00:00;50400.0;6;269;-26.9112;1.881;19496.18;0.07952;1.0722;28.792;19496.18
TanChau;2011-10-01 14:00:00;50400.0;29;1126;-32.2556;4.957;25524.709;0.09502;1.438;37.212;25524.709
MyThuan;2011-10-01 14:00:00;50400.0;32;1305;-25.7667;1.023;21623.619;0.10009;1.3573;26.79;21623.619
VamNao;2011-10-01 14:00:00;50400.0;47;1510;-21.7944;4.515;7985.37;0.07833;0.972;26.31;7985.37
ChauDoc;2011-10-01 15:00:00;54000.0;3;62;-18.895;5.661;8362.544;0.10526;1.3288;24.556;8362.544
CanTho;2011-10-01 15:00:00;54000.0;6;269;-26.9112;1.76;19259.443;0.07923;1.0661;28.672;19259.443
TanChau;2011-10-01 15:00:00;54000.0;29;1126;-32.2556;4.841;25250.529;0.09467;1.4297;37.096;25250.529
MyThuan;2011-10-01 15:00:00;54000.0;32;1305;-25.7667;0.88;21264.854;0.09939;1.3452;26.647;21264.854
VamNao;2011-10-01 15:00:00;54000.0;47;1510;-21.7944;4.402;7879.094;0.07813;0.966;26.197;7879.094
ChauDoc;2011-10-01 16:00:00;57600.0;3;62;-18.895;5.566;8322.153;0.10568;1.3302;24.461;8322.153
CanTho;2011-10-01 16:00:00;57600.0;6;269;-26.9112;1.7;18574.289;0.07675;1.0316;28.611;18574.289
TanChau;2011-10-01 16:00:00;57600.0;29;1126;-32.2556;4.725;25031.736;0.09453;1.4244;36.98;25031.736
MyThuan;2011-10-01 16:00:00;57600.0;32;1305;-25.7667;0.856;19995.318;0.0936;1.2666;26.623;19995.318
VamNao;2011-10-01 16:00:00;57600.0;47;1510;-21.7944;4.286;7764.892;0.07786;0.9591;26.081;7764.892
ChauDoc;2011-10-01 17:00:00;61200.0;3;62;-18.895;5.471;8290.75;0.10622;1.333;24.366;8290.75
CanTho;2011-10-01 17:00:00;61200.0;6;269;-26.9112;1.915;15752.31;0.0641;0.8647;28.826;15752.31
TanChau;2011-10-01 17:00:00;61200.0;29;1126;-32.2556;4.61;24818.016;0.09439;1.4193;36.866;24818.016
