shp_name;base;suffix;role;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;co_z
SH25;SH25;;chinh;572426.0;1121874.3;BASSAC;129791.7;55.3;yes
SH22P;SH22;P;nhanh_phu;562625.1;1131905.3;Hau_4;9797.2;12.9;yes
SH23;SH23;;chinh;567561.8;1129117.0;BASSAC;120874.8;4.5;yes
SH23p;SH23;p;nhanh_phu;565749.1;1128070.4;Hau_4;14769.4;16.1;yes
SH22;SH22;;chinh;564041.1;1133581.3;BASSAC;115140.9;19.6;yes
SH1a;SH1;a;nhanh_AB;509144.1;1211136.5;BASSAC;145.8;12.7;yes
SH21p;SH21;p;nhanh_phu;558862.2;1135568.4;Hau_4;4509.7;36.6;yes
SH21;SH21;;chinh;560136.1;1137183.1;BASSAC;109810.9;45.1;yes
SH20;SH20;;chinh;555546.9;1140172.9;BASSAC;104257.8;54.0;yes
CC19P;CC19;P;nhanh_phu;665854.4;1086605.0;CuaCungHau;26410.9;268.7;yes
CC19;CC19;;chinh;669921.1;1089692.5;CuaCoChien;27261.7;55.0;yes
CC18P;CC18;P;nhanh_phu;663064.9;1090025.1;CuaCungHau;21931.4;34.0;yes
CC17P1;CC17;P1;nhanh_phu;659844.4;1092872.1;CuaCungHau;17644.9;146.7;yes
CC18;CC18;;chinh;666593.9;1092750.3;CuaCoChien;22753.7;137.7;yes
CC17P2;CC17;P2;nhanh_phu;660739.1;1093735.4;CuaCungHau;17590.9;1095.3;yes
CC17;CC17;;chinh;662858.2;1096652.7;CuaCoChien;17306.0;113.9;yes
CC16P;CC16;P;nhanh_phu;656709.4;1095843.4;CuaCungHau;13292.8;3.3;yes
CC16;CC16;;chinh;658197.9;1099213.2;CuaCoChien;11937.3;38.5;yes
CC15P;CC15;P;nhanh_phu;652363.2;1099653.8;CuaCungHau;7496.5;45.9;yes
CC15;CC15;;chinh;654102.6;1101567.4;CuaCoChien;7191.5;50.5;yes
CC14p;CC14;p;nhanh_phu;649108.1;1102948.5;CuaCungHau;2806.6;41.1;yes
Sat Lo;Sat Lo;;dac_biet;649326.4;1103395.3;CuaCungHau;2616.6;517.2;no
CC14;CC14;;chinh;650199.8;1104163.1;CuaCoChien;2499.8;67.4;yes
CC13;CC13;;chinh;647206.3;1106012.3;CoChien;60220.0;203.9;yes
CC12;CC12;;chinh;643422.4;1108669.8;CoChien;55501.6;20.6;yes
CC12P;CC12;P;nhanh_phu;644794.0;1109917.3;CoChien_4;4025.8;29.0;yes
CC11;CC11;;chinh;640872.8;1111632.8;CoChien;51479.8;307.9;yes
CC10;CC10;;chinh;637353.3;1113178.3;CoChien;47345.9;30.8;yes
CC10P1;CC10;P1;nhanh_phu;637558.3;1114073.7;CoChien;47050.9;900.8;yes
CC10P2;CC10;P2;nhanh_phu;638738.4;1115486.2;CoChien_3;17576.5;14.9;yes
CC9;CC9;;chinh;633037.2;1117361.5;CoChien;41263.1;57.2;yes
CC9P;CC9;P;nhanh_phu;635734.7;1119093.2;CoChien_3;12861.7;36.3;yes
CC8;CC8;;chinh;630087.2;1120471.0;CoChien;36969.6;7.2;yes
CC8P;CC8;P;nhanh_phu;632963.0;1122694.2;CoChien_3;8269.2;50.9;yes
CC7;CC7;;chinh;628574.7;1125198.7;CoChien;31823.3;50.7;yes
CC7P;CC7;P;nhanh_phu;629554.0;1125868.0;CoChien_3;3595.2;26.7;yes
CC6P;CC6;P;nhanh_phu;625790.0;1127672.8;CoChien_2;1824.7;61.1;yes
CC6;CC6;;chinh;626783.1;1128423.9;CoChien;28035.7;13.5;yes
CC5;CC5;;chinh;622504.1;1131490.0;CoChien;22642.5;136.5;yes
CC4;CC4;;chinh;616950.9;1132554.4;CoChien;16856.8;5.9;yes
Sat Lo;Sat Lo;;dac_biet;616861.7;1132869.8;CoChien;16748.9;303.6;no
CC4p;CC4;p;nhanh_phu;616991.3;1134181.0;CoChien_1;3541.9;28.1;yes
Sat Lo;Sat Lo;;dac_biet;616727.8;1134077.8;CoChien_1;3285.1;90.8;no
CC3;CC3;;chinh;611805.6;1134391.6;CoChien;11066.3;12.5;yes
CC2;CC2;;chinh;606789.5;1134394.2;CoChien;5923.1;17.0;yes
CC1;CC1;;chinh;602383.9;1136287.0;CoChien;814.1;48.2;yes
