ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
SH23p;SH23P;SH;BASSAC;SH;23;P;565749.1;1128070.4;yes;122040.0;615.2;525.8;-8.69;157;SongHau;Hau_4;14769.4;16.1;RachBaNhien_RachCat;4777.0;711.6;Thom Rom;0.0;1721.8
SH24;SH24;SH;BASSAC;SH;24;;569236.9;1125267.6;yes;126335.0;1253.9;1230.8;-19.56;319;SongHau;BASSAC;125128.2;39.7;Kenh_Bong_Sung;5974.9;679.1;Hau_4;18255.0;1130.9
SH25;SH25;SH;BASSAC;SH;25;;572426.0;1121874.3;yes;130770.0;1096.2;916.5;-23.07;277;SongHau;BASSAC;129791.7;55.3;Rach_Chanh;127.8;601.2;O Mon;0.0;622.7
SH26;SH26;SH;BASSAC;SH;26;;576557.7;1119164.1;yes;133800.0;1138.2;1102.3;-19.28;236;SongHau;BASSAC;134726.4;39.0;Can Tho HH;20591.4;1025.7;Rach_Chanh;5106.7;1769.2
SH27;SH27;SH;BASSAC;SH;27;;582175.6;1115562.7;yes;140500.0;883.5;1041.3;-19.41;187;SongHau;BASSAC;141521.2;60.5;Hau_5;1657.2;1080.3;KH9;0.0;2068.9
SH27P;SH27P;SH;BASSAC;SH;27;P;581662.5;1114617.5;yes;140500.0;529.5;782.4;-13.83;114;SongHau;Hau_5;1759.9;9.8;BASSAC;141490.9;1135.5;KH9;0.0;1410.7
SH28;SH28;SH;BASSAC;SH;28;;586190.8;1112707.3;yes;145500.0;1006.7;951.1;-35.55;210;SongHau;BASSAC;146631.6;40.0;Nha Man TT;25581.8;982.8;Bao Ke DH;762.0;1765.9
SH29;SH29;SH;BASSAC;SH;29;;589200.0;1108925.5;yes;150400.0;1038.3;1048.6;-21.98;215;SongHau;BASSAC;151477.2;55.3;Hau_6;2839.8;1270.0;Can_Tho;34405.4;2110.3
SH29p;SH29P;SH;BASSAC;SH;29;P;588152.6;1108149.7;yes;150400.0;429.6;737.6;-9.34;94;SongHau;Hau_6;2699.1;25.8;BASSAC;151582.9;1243.8;APMYXEOLAXEOGIUA;8775.7;1762.3
SH30;SH30;SH;BASSAC;SH;30;;591069.9;1105337.8;yes;153900.0;1550.5;1576.3;-18.61;319;SongHau;BASSAC;155578.2;148.9;Hau_7;0.0;564.2;Ben Bao;0.0;633.6
SH31;SH31;SH;BASSAC;SH;31;;593492.5;1102681.0;yes;158500.0;1304.0;1228.4;-18.8;327;SongHau;BASSAC;159229.4;28.1;Rach_Cai_Dau;5198.4;1232.5;Cai Cui;0.0;1391.6
SH31P;SH31P;SH;BASSAC;SH;31;P;594926.2;1104571.0;yes;158500.0;297.7;244.3;-8.79;78;SongHau;Hau_7;3444.9;20.4;DongThang;10641.3;933.0;BASSAC;158902.6;2377.6
SH32;SH32;SH;BASSAC;SH;32;;597217.5;1099440.2;yes;163050.0;985.6;902.1;-21.24;249;SongHau;BASSAC;164177.2;12.3;Nang Mau;115.7;1412.9;Nga Bat;0.0;1591.1
SH32P;SH32P;SH;BASSAC;SH;32;P;599549.3;1102279.6;yes;163050.0;649.8;857.6;-15.09;166;SongHau;Hau_7;8726.1;70.0;DongThang;15113.5;250.6;Mang Thit;46526.2;1191.2
SH33;SH33;SH;BASSAC;SH;33;;601691.4;1095278.7;yes;169200.0;789.0;815.2;-18.37;200;SongHau;BASSAC;170488.8;50.9;Cai Cau;9.5;534.9;Muong Lo2;3739.9;1064.8
SH33P1;SH33P1;SH;BASSAC;SH;33;P1;602751.2;1096321.8;yes;169200.0;567.7;691.3;-18.98;148;SongHau;Hau_9;3487.5;53.7;BASSAC;170509.4;1435.9;Hau_7;15658.7;1640.0
SH33P2;SH33P2;SH;BASSAC;SH;33;P2;603928.2;1097680.1;yes;169200.0;635.6;733.2;-7.98;164;SongHau;Hau_7;15218.9;30.7;Hau_8;1421.5;846.8;MTT37;0.0;985.0
SH33P3;SH33P3;SH;BASSAC;SH;33;P3;604646.5;1098157.4;yes;169200.0;236.4;276.4;-3.89;68;SongHau;Hau_8;1617.8;7.0;MTT37;0.0;162.2;Hau_7;15075.1;881.0
SH34;SH34;SH;BASSAC;SH;34;;605493.3;1091325.4;yes;174900.0;698.7;921.4;-18.8;182;SongHau;BASSAC;176015.3;134.0;Hau_10;1684.9;1048.2;SHU_22_23;234.3;1502.5
SH34P2;SH34P2;SH;BASSAC;SH;34;P2;607310.9;1092919.6;yes;174900.0;1175.5;1576.9;-13.55;298;SongHau;Hau_7;21166.1;29.0;Hau_9;8994.0;282.6;Hau_10;2073.3;1330.7
SH34P3;SH34P3;SH;BASSAC;SH;34;P3;608700.1;1094065.1;yes;174900.0;307.7;637.3;-8.41;80;SongHau;Hau_8;7425.4;6.0;BONGLOT_CR;13771.2;894.7;Hau_7;20555.8;1601.1
SH35;SH35;SH;BASSAC;SH;35;;610335.4;1089031.4;yes;179800.0;3446.3;3944.4;-12.38;737;SongHau;Hau_7;26170.0;20.0;Hau_10;6691.9;353.7;BASSAC;181081.1;1630.3
SH36;SH36;SH;BASSAC;SH;36;;613716.2;1084875.7;yes;185450.0;3317.2;3712.3;-12.98;666;SongHau;BASSAC;186668.9;107.4;Hau_7;30166.3;1453.7;Hau_11;1941.6;1508.1
SH36A;SH36A;SH;BASSAC;SH;36;A;617006.2;1081456.7;yes;190400.0;3263.0;2614.1;-17.29;591;SongHau;BASSAC;191523.2;82.8;CuaDinhAn;0.0;1309.3;CuaTranDe;0.0;1321.6
SH36AP;SH36AP;SH;BASSAC;SH;36;AP;615782.0;1080096.6;no;;;954.8;;;;Hau_11;7166.3;123.5;BASSAC;191863.3;1880.8;Muong Dieu;6632.9;1937.9
SH37;SH37;SH;BASSAC;SH;37;;620454.6;1079252.8;yes;194850.0;1706.7;2061.3;-12.79;374;SongHau;CuaDinhAn;2871.9;97.0;2-9_DOWN;11083.4;853.2;CANCHONG;0.0;1927.9
SH37P;SH37P;SH;BASSAC;SH;37;P;618650.3;1077448.0;yes;194850.0;1684.6;;-9.75;354;SongHau;CuaTranDe;3245.4;158.7;Hau_11;9786.6;1307.5;Dai Ngai;0.0;1479.0
SH38;SH38;SH;BASSAC;SH;38;;624148.2;1075647.4;yes;199500.0;2179.4;2970.9;-14.78;447;SongHau;CuaDinhAn;8069.0;54.5;SHU_10_100)2005;0.0;1392.2;BACTRANG;10628.3;2724.2
SH38P;SH38P;SH;BASSAC;SH;38;P;620558.7;1072855.6;yes;199500.0;1311.7;1622.6;-9.81;277;SongHau;CuaTranDe;8222.1;46.9;K. Ba Xam _Goi_1;3311.0;1748.0;;;
SH39;SH39;SH;BASSAC;SH;39;;627312.0;1072167.5;yes;204200.0;1585.7;1516.8;-14.64;328;SongHau;CuaDinhAn;12799.6;99.7;VAMBUON;16806.8;1458.1;SHU_10_100)2005;3547.0;1735.3
SH39P;SH39P;SH;BASSAC;SH;39;P;622938.4;1067790.5;yes;204200.0;992.5;1271.1;-12.61;210;SongHau;CuaTranDe;13833.4;54.5;K. Bao Bien;8036.8;92.4;SHU_12_108_2005;1756.4;1487.2
SH40;SH40;SH;BASSAC;SH;40;;630962.6;1068645.2;yes;209200.0;1785.2;1750.0;-11.81;420;SongHau;CuaDinhAn;17865.3;36.8;TraCu;20477.4;1571.0;SHU_10_100)2005;9271.3;2380.5
SH40P;SH40P;SH;BASSAC;SH;40;P;626212.3;1063836.1;yes;209200.0;1313.0;1253.5;-10.72;275;SongHau;CuaTranDe;19013.4;4.1;ST29_ST56;0.0;1287.9;U-QLPH51;6934.5;2294.3
SH41;SH41;SH;BASSAC;SH;41;;634546.1;1065671.3;yes;213900.0;2280.0;2284.3;-10.75;484;SongHau;CuaDinhAn;22520.6;51.5;HAMGIANG;118.0;2170.2;Sarai1;14908.5;2641.0
SH41P;SH41P;SH;BASSAC;SH;41;P;629365.0;1059691.7;yes;213900.0;1637.8;1911.4;-9.22;375;SongHau;CuaTranDe;24226.3;121.6;SHU_12_108_2005;14236.3;1889.0;;;
SH42;SH42;SH;BASSAC;SH;42;;638064.6;1062640.8;yes;218400.0;2635.6;2555.4;-12.19;569;SongHau;CuaDinhAn;27150.6;190.6;SHU_10_100)2005;19150.1;1656.1;Sarai1;15412.6;2179.4
SH42P;SH42P;SH;BASSAC;SH;42;P;631975.9;1055099.0;yes;218400.0;1694.1;1650.4;-11.46;348;SongHau;CuaTranDe;29553.3;126.1;SHU_12_108_2005;23600.0;1181.7;K. Cai Xe_Ngan Ro;25207.7;1774.1
SH43;SH43;SH;BASSAC;SH;43;;642104.9;1060214.6;yes;223215.0;2734.0;2652.2;-11.17;565;SongHau;CuaDinhAn;31862.3;110.2;LANGSAC_CANAL;390.8;2534.8;;;
