ten_mike;so_doan;ch0;ch1;dai_km;US;DS;link;giu_ledger;ly_do;n_xsec_mike;topo_id;n_survey2020
B07;1;0.0;2355.0;2.35;GO28_38@11800;B04@4800;no;GIU;co_mat_cat_mike;1;NORTH;0
B08;1;0.0;1685.0;1.69;Ham Luong@18353;B04@4800;no;GIU;co_mat_cat_mike;1;NORTH;0
B09;1;0.0;3118.0;3.12;GO28_38@15000;B04@10975;no;GIU;co_mat_cat_mike;1;NORTH;0
B10;1;0.0;3270.0;3.27;Ham Luong@22078;B04@10975;no;GIU;co_mat_cat_mike;1;NORTH;0
B11;1;0.0;8187.0;8.19;Binh Chanh@406;HamLuong_4@4870;no;GIU;co_mat_cat_mike;2;NORTH;0
B12;1;0.0;18980.0;18.98;Binh Chanh@5836;Ham Luong@47856;no;GIU;co_mat_cat_mike;4;NORTH;0
B13;1;0.0;10232.0;10.23;Binh Chanh@20885;B19@2500;no;GIU;co_mat_cat_mike;2;NORTH;0
B14;1;0.0;21056.0;21.06;Binh Chanh@11115;B27@2000;no;GIU;co_mat_cat_mike;5;NORTH;0
B15;1;0.0;18148.0;18.15;B14@1122;B25@3702;no;GIU;co_mat_cat_mike;3;NORTH;0
B16;1;0.0;13073.0;13.07;B12@15906;Ham Luong@63737;no;GIU;co_mat_cat_mike;3;NORTH;0
B17;1;0.0;3189.0;3.19;B18@3041;B13@4514;no;GIU;co_mat_cat_mike;1;NORTH;0
B18;1;0.0;6327.0;6.33;Ba Lai@17701;Ba Lai@24371;no;GIU;co_mat_cat_mike;1;NORTH;0
B19;1;0.0;3500.0;3.5;Ba Lai@24964;B14@15731;no;GIU;co_mat_cat_mike;2;NORTH;0
B20;1;0.0;2012.0;2.01;Ba Lai@27240;B14@19200;no;GIU;co_mat_cat_mike;1;NORTH;0
B21;1;0.0;9254.0;9.25;B14@9500;B14@15731;no;GIU;co_mat_cat_mike;2;NORTH;0
B22;1;0.0;7550.0;7.55;B12@15906;B16@2746;no;GIU;co_mat_cat_mike;2;NORTH;0
B23;1;0.0;2539.0;2.54;B16@7000;HamLuong_6@3224;no;GIU;co_mat_cat_mike;1;NORTH;0
B24;1;0.0;7669.0;7.67;B21@7163;B27@5000;no;GIU;co_mat_cat_mike;3;NORTH;0
B25;1;0.0;10164.0;10.16;B24@4456;B16@11397;no;GIU;co_mat_cat_mike;1;NORTH;0
B26;1;0.0;12549.0;12.55;B24@6400;B27@18400;no;GIU;co_mat_cat_mike;2;NORTH;0
B27;1;0.0;20851.0;20.85;Ba Lai@30428;Ham Luong@63737;no;GIU;co_mat_cat_mike;9;NORTH;0
B28;1;0.0;8495.0;8.49;GO28_38@19608;Giao Hoa@12958;no;GIU;co_mat_cat_mike;2;NORTH;0
B29;1;0.0;3817.0;3.82;B22@2951;B15@6693;no;GIU;co_mat_cat_mike;1;NORTH;0
B30;1;0.0;16103.0;16.1;Ba Lai@34976;Ham Luong@68193;no;GIU;co_mat_cat_mike;3;NORTH;0
B31;1;0.0;815.0;0.81;B27@6072;B30@3199;no;GIU;co_mat_cat_mike;1;NORTH;0
B32;1;0.0;5000.0;5.0;Branch AC@11490;B12@3966;no;GIU;co_mat_cat_mike;4;2017;0
B33;1;0.0;3951.0;3.95;Branch AC@11490;B34@2150;no;GIU;co_mat_cat_mike;4;2017;0
B34;1;0.0;7500.0;7.5;HamLuong_5@1277;B12@16600;no;GIU;co_mat_cat_mike;4;2017;0
BACTRANG;1;0.0;10628.0;10.63;CANCHONG@11086;CuaDinhAn@9946;no;GIU;co_mat_cat_mike;4;T47V;0
BASI_CR;1;0.0;29236.0;29.24;CoChien@56942;THONGNHAT_CANAL@11406;no;GIU;co_mat_cat_mike;11;2006;0
BASSAC;1;0.0;192715.0;192.72;TU_DO;CuaDinhAn@0;no;GIU;co_survey2020;163;2006, 2021_SIWRP_QHPCTT;38
BBCBang;1;0.0;5440.0;5.44;Tra Cu Can@8745;Xeo Chit@17235;no;GIU;co_mat_cat_mike;0;;0
BDSauHy;3;0.0;6211.0;6.21;"Xeo Ro@3752; K. Ngan Dua - BL2@5996; Lai Viet@4000";"Lai Viet@4000; Xeo Ro@3752; XeoChit_QuanLo@7144";no;GIU;co_mat_cat_mike;0;;0
BONGLOT_CR;1;0.0;13463.0;13.46;TRA_NGOA@8705;Hau_8@6622;no;GIU;co_mat_cat_mike;2;2006;0
BRTaLiem;2;0.0;16350.0;16.35;"Ba Rinh Moi@4713; TH Giong Cat@4514";"TH Giong Cat@4514; Xeo Gua@0";no;GIU;co_mat_cat_mike;0;;0
BUNGTRUONG;1;0.0;14866.0;14.87;VUNGLIEM_CRECK@10785;TRA_NGOA@12837;no;GIU;co_mat_cat_mike;4;T47V;0
Ba Ai 1;1;0.0;4856.0;4.86;KVINHMYPHUOCLONG@34522;K. Vinh Loc 1@6879;no;GIU;co_mat_cat_mike;0;;0
Ba Cang;1;0.0;18300.0;18.3;Xeo Mat CV@3400;Xeo Mat CV@22100;no;GIU;co_mat_cat_mike;0;;0
Ba Chieu;1;0.0;21590.0;21.59;BASSAC@104208;Bon Tong@11000;no;GIU;co_mat_cat_mike;0;;0
Ba Dot;1;0.0;5588.0;5.59;Hau BoiTN@309;No 1@12470;no;GIU;co_mat_cat_mike;0;;0
Ba Hoi;1;0.0;1760.0;1.76;K. Lang Tram@2003;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Ba Hon;1;0.0;7479.0;7.48;Rach Gia HT@74020;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Ba Hong Minh;2;0.0;11000.0;11.0;"K61@27500; Cam36@16385";"Vam Co Tay@34662; K61@27500";no;GIU;co_mat_cat_mike;0;;0
Ba Ke;18;0.0;94300.0;94.3;"Tron@40000; Rach Gia LX@49299; Kien Hao CNG@11404; Ba The@47000; My Thai@25400; Tri Ton@47950; H9@8000; H7@5000; Tam Ngan@9850; Kenh T6@12100; Kenh T5@18000; Kenh T4@14000; Kenh T3@12000; Nong Truong@12660; Ha Giang@11515; KH12@18184; Cai San@38000; Giua@16000";"Cai San@38000; Tron@40000; Rach Gia LX@49299; Kien Hao CNG@11404; Ba The@47000; My Thai@25400; Tri Ton@47950; H9@8000; H7@5000; Tam Ngan@9850; Kenh T6@12100; Kenh T5@18000; Kenh T4@14000; Kenh T3@13000; Nong Truong@12660; Giua@16000; KH12@18184; KH3@14000";no;GIU;co_mat_cat_mike;0;;0
Ba Kieng;5;0.0;21000.0;21.0;"T4@5900; T6@6600; T8@6800; Tra Cu Thuong@4000; Mareng@5905";"Vam Co Dong@151639; T4@5900; T6@6600; T8@6800; Tra Cu Thuong@4000";no;GIU;co_mat_cat_mike;0;;0
Ba Lai;1;0.0;43085.0;43.09;Giao Hoa@13214;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Ba Ngan;1;0.0;6627.0;6.63;Kenh_Thay_Cai@11013;Nang Mau@12412;no;GIU;co_mat_cat_mike;0;;0
Ba Quy;2;0.0;7650.0;7.65;"Ba Ai 1@2000; K. Vinh Loc 1@4699";"K. Vinh Loc 1@4699; Xeo Chit@71061";no;GIU;co_mat_cat_mike;0;;0
Ba Rai;1;0.0;27483.0;27.48;Nguyen Van Tiep2@27944;NamThon@713;no;GIU;co_mat_cat_mike;0;;0
Ba Rinh CMP_Moi;3;0.0;19400.0;19.4;"No 1@6323; An Tap@8000; TH Giong Cat@6000";"Soc Trang@5202; TH Giong Cat@6000; Xeo Gua@0";no;GIU;co_mat_cat_mike;0;;0
Ba Rinh Moi;1;3491.0;11887.0;8.4;Soc Trang@5202;An Tap@8000;no;GIU;co_mat_cat_mike;0;;0
Ba Tau;1;0.0;3909.0;3.91;Hai Phac@636;Lo Xe@3084;no;GIU;co_mat_cat_mike;0;;0
Ba Tha;1;0.0;2000.0;2.0;Tap Doan III@2830;Quan Lo PH@68102;no;GIU;co_mat_cat_mike;0;;0
Ba The;1;0.0;56807.0;56.81;BASSAC@63803;Rach Gia HT@27637;no;GIU;co_mat_cat_mike;0;;0
Ba The Moi;4;0.0;28400.0;28.4;"My Thai@12445; Ba The@36500; Kien Hao CNG@25754; Rach Gia LX@32511";"Tri Ton@36000; My Thai@12445; Ba The@36500; Kien Hao CNG@25754";no;GIU;co_mat_cat_mike;0;;0
Ba Vom;1;0.0;10000.0;10.0;Vam Co Dong@103124;Rach Tram MB@11000;no;GIU;co_mat_cat_mike;0;;0
Ba Xa;1;0.0;2800.0;2.8;My Hung@5617;Tra Cu Can@11305;no;GIU;co_mat_cat_mike;0;;0
Ba ke;1;94400.0;97400.0;3.0;KH3@14000;Thot Not@40000;no;GIU;co_mat_cat_mike;0;;0
BaBaongChannel;1;0.0;8400.0;8.4;Mk_E1@74471;Mk_E2@60419;no;bo;co_lap_khong_noi_truc;0;;0
BaCon;1;0.0;2786.0;2.79;O Mon@13000;RachOngDua_2@2701;no;GIU;co_mat_cat_mike;0;;0
BaHien1;1;0.0;1846.0;1.85;KENHKIMQUYKG2@4621;K. Ranh@12732;no;GIU;co_mat_cat_mike;0;;0
BaHien2;1;0.0;4429.0;4.43;K. Ranh@12732;Can Gao@33771;no;GIU;co_mat_cat_mike;0;;0
BaQuan1;1;0.0;3444.0;3.44;Cai Be@51786;KH52@3072;no;GIU;co_mat_cat_mike;0;;0
BaQuan2;1;0.0;3283.0;3.28;KH52@3072;KH62@4314;no;GIU;co_mat_cat_mike;0;;0
BaVoi_1;1;0.0;1078.0;1.08;NangChang_1@0;MuoiThuoc@795;no;GIU;co_mat_cat_mike;0;;0
BaVoi_2;1;0.0;11764.0;11.76;MuoiThuoc@795;Xa No@39743;no;GIU;co_mat_cat_mike;0;;0
Bac Chan;2;0.0;18000.0;18.0;"K79@26400; Vam Co Tay@12371";"Dong Tien@50000; K79@26400";no;GIU;co_mat_cat_mike;0;;0
Bac Dong;1;0.0;32900.0;32.9;K12@13000;Vam Co Tay@93244;no;GIU;co_mat_cat_mike;0;;0
Bac Lieu;1;0.0;35028.0;35.03;Nhu_Gia@57425;TU_DO;no;GIU;co_mat_cat_mike;0;;0
Bach nguu;1;0.0;67310.0;67.31;Xeo Chit@93683;Tac Thu@3754;no;GIU;co_mat_cat_mike;0;;0
BachNguu1;1;0.0;7285.0;7.29;Bach nguu@30269;K. Phong Thanh Tay@12604;no;GIU;co_mat_cat_mike;0;;0
Ban;1;0.0;12640.0;12.64;K. Lang Tram@6921;Tac Thu@1726;no;GIU;co_mat_cat_mike;0;;0
BanBe1;1;0.0;3547.0;3.55;TSH3@3229;KH52@16994;no;GIU;co_mat_cat_mike;0;;0
BanBe2;1;0.0;4905.0;4.91;KH52@16994;KH62@16413;no;GIU;co_mat_cat_mike;0;;0
BanBe3;1;0.0;1226.0;1.23;KH62@16413;Cai Lon@35069;no;GIU;co_mat_cat_mike;0;;0
Bang Day;1;0.0;11100.0;11.1;Nguyen Van Tiep2@24771;K10@12293;no;GIU;co_mat_cat_mike;0;;0
Bang Lang;2;0.0;13000.0;13.0;"An Phong MH@58100; Nguyen Van Tiep2@10940";"Dong Tien@60500; An Phong MH@58100";no;GIU;co_mat_cat_mike;0;;0
Banghe_Ngaichanh;1;8400.0;24542.0;16.14;TRA_NGOA@14602;Hau_8@10127;no;GIU;co_mat_cat_mike;0;;0
Bao Dinh;1;0.0;26282.0;26.28;Tien_7@1646;Vam Co Tay@108340;no;GIU;co_mat_cat_mike;0;;0
Bao Ke DH;1;0.0;33730.0;33.73;BASSAC@149107;CoChien@5811;no;GIU;co_mat_cat_mike;0;;0
Bao Thui;1;0.0;1779.0;1.78;Nang Muoi@5679;Lung Quoc@0;no;GIU;co_mat_cat_mike;0;;0
Bass_E;1;0.0;95000.0;95.0;TU_DO;ChauDoc-Channel@5296;no;bo;o_tru_w=11842;0;;0
Bass_West;1;0.0;72000.0;72.0;TU_DO;Takaev-Channel@0;no;bo;o_tru_w=9299;0;;0
Bass_West1;1;0.0;20000.0;20.0;Stung-Takaev@40956;Vinh Te@18136;no;bo;o_tru_w=19278;0;;0
Bassac4;1;0.0;9468.0;9.47;BASSAC@54215;BASSAC@41606;no;GIU;co_mat_cat_mike;0;;0
BassacCam;1;0.0;84233.0;84.23;MekongCam@213530;Bassac@0;no;bo;ngoai_lien_thong;0;;0
Bau Mon;1;0.0;4099.0;4.1;Lo Ca Lam A@9200;Thach My@4562;no;GIU;co_mat_cat_mike;0;;0
Bau Nau;1;3650.0;7250.0;3.6;Hung Dien@12473;Cai Co LK@74311;no;GIU;co_mat_cat_mike;0;;0
Bau Nau1;2;0.0;8895.0;8.89;"K28@15508; Song Trang@19000";"Hung Dien@12473; K28@15508";no;GIU;co_mat_cat_mike;0;;0
