ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
SH17;SH;17.0;;chinh;545680.8;1151322.5;yes;BASSAC;89062.4;26.6;604.3;535.3;-19.4;604.3;-19.4;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1019718.4
SH17P;SH;17.0;P;nhanh;549853.6;1152292.4;yes;Hau_3;5907.8;38.9;316.9;266.9;-28.08;316.9;-28.08;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH18;SH;18.0;;chinh;549501.9;1147945.3;yes;BASSAC;94309.1;14.4;677.0;703.2;-30.62;677.0;-30.62;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1024965.1
SH19;SH;19.0;;chinh;552241.8;1143605.2;yes;BASSAC;99484.5;24.4;784.7;829.0;-20.15;784.7;-20.15;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1030140.5
SH20;SH;20.0;;chinh;555546.9;1140172.9;yes;BASSAC;104257.8;54.0;1161.1;1392.1;-15.33;1161.1;-15.33;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1034913.8
SH21;SH;21.0;;chinh;560136.1;1137183.1;yes;BASSAC;109810.9;45.1;1242.3;1707.6;-21.55;1242.3;-21.55;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1040466.9
SH21p;SH;21.0;P;nhanh;558862.2;1135568.4;yes;Hau_4;4509.7;36.6;389.2;466.5;-10.56;389.2;-10.56;2021_SIWRP_QHPCTT;0.0;0.0;;
SH22;SH;22.0;;chinh;564041.1;1133581.3;yes;BASSAC;115140.9;19.6;1009.9;972.9;-16.53;1009.9;-16.53;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1045796.9
SH22P;SH;22.0;P;nhanh;562625.1;1131905.3;yes;Hau_4;9797.2;12.9;401.7;388.8;-11.33;401.7;-11.33;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH23;SH;23.0;;chinh;567561.8;1129117.0;yes;BASSAC;120874.8;4.5;757.5;723.3;-22.69;757.5;-22.69;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1051530.8
SH23p;SH;23.0;P;nhanh;565749.1;1128070.4;yes;Hau_4;14769.4;16.1;615.2;525.8;-8.69;615.2;-8.69;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH24;SH;24.0;;chinh;569236.9;1125267.6;yes;BASSAC;125128.2;39.7;1253.9;1230.8;-19.56;1254.0;-19.56;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1055784.2
SH25;SH;25.0;;chinh;572426.0;1121874.3;yes;BASSAC;129791.7;55.3;1096.2;916.5;-23.07;1096.2;-23.07;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1060447.7
SH26;SH;26.0;;chinh;576557.7;1119164.1;yes;BASSAC;134726.4;39.0;1138.2;1102.3;-19.28;1138.2;-19.28;2021_SIWRP_QHPCTT;0.0;0.0;2.0;1065382.4
SH27;SH;27.0;;chinh;582175.6;1115562.7;yes;BASSAC;141521.2;60.5;883.5;1041.3;-19.41;883.5;-19.41;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1072177.2
SH27P;SH;27.0;P;nhanh;581662.5;1114617.5;yes;Hau_5;1759.9;9.8;529.5;782.4;-13.83;529.5;-13.83;2021_SIWRP_QHPCTT;-0.0;0.0;;
SH28;SH;28.0;;chinh;586190.8;1112707.3;yes;BASSAC;146631.6;40.0;1006.7;951.1;-35.55;1006.7;-35.55;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1077287.6
SH29;SH;29.0;;chinh;589200.0;1108925.5;yes;BASSAC;151477.2;55.3;1038.3;1048.6;-21.98;1038.3;-21.98;2021_SIWRP_QHPCTT;-0.0;0.0;2.0;1082133.2
SH29p;SH;29.0;P;nhanh;588152.6;1108149.7;yes;Hau_6;2699.1;25.8;429.6;737.6;-9.34;429.6;-9.34;2021_SIWRP_QHPCTT;-0.0;0.0;;
