nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
Ta Manh;3572.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Thay Xep;3626.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Tieu Dua;0.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
Tuan Thong;8500.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Vam Co;47750.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vam kenh;H_VamKenh;H;yes
Vam Rang;5300.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Vam Ray;6245.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Rach Gia;H_RachGia;H;yes
XEONHAO3;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
s. Dam Chim;38939.0;0;5;bien_mo;Ganh hao;H_boudary_2011.dfs0;Ganh hao;H_GanhHao;H;yes
2-9_DOWN;10250.0;1;0;nhap_luu;SMT/82;Waterdemand2.dfs0;SMT/82;;;no
3 CUI;996.0;1;0;nhap_luu;W29;Waterdemand2.dfs0;QLPH/29;;;no
3 CUI;19555.0;1;0;nhap_luu;W29;Waterdemand2.dfs0;QLPH/29;;;no
3 Cui;12000.0;1;0;nhap_luu;W29;Waterdemand2.dfs0;QLPH/29;;;no
30-4;6000.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
30-4;13496.0;1;0;nhap_luu;W23;Waterdemand2.dfs0;KS/23;;;no
3THUOC;1518.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
3Thuoc;5639.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
4000;2000.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
4000;2000.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
6500_3;200.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
7000_1;1162.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
7000_2;200.0;1;0;nhap_luu;W18;Waterdemand2.dfs0;WB/18;;;no
9 THUOC;2040.0;1;0;nhap_luu;W20;Waterdemand2.dfs0;WB/20;;;no
9 THUOC2;2000.0;1;0;nhap_luu;W20;Waterdemand2.dfs0;WB/20;;;no
9 THUOC2;4000.0;1;0;nhap_luu;W20;Waterdemand2.dfs0;WB/20;;;no
A01;3707.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
A02;1788.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
A03;3120.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
A04;3198.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A05;3124.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A06;3576.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A07;3787.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A08;3584.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A09;9074.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A10;2138.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A11;1758.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A12;2401.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A13;2268.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A14;9718.0;1;0;nhap_luu;BL/95;Waterdemand2.dfs0;BL/95;;;no
A15;3278.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A16;4065.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
A17;4439.0;1;0;nhap_luu;BL/95;Waterdemand2.dfs0;BL/95;;;no
A18;1531.0;1;0;nhap_luu;BL/94;Waterdemand2.dfs0;BL/94;;;no
AMAB1;500.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AMAB12;1830.0;1;0;nhap_luu;W52;Waterdemand2.dfs0;W52;;;no
AMAB13;777.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AMAB2;7000.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AMAB6;3257.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AMAB8;2000.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AMAB9;3200.0;1;0;nhap_luu;W54;Waterdemand2.dfs0;W54;;;no
AN TAP;4000.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
AN TAP;12000.0;1;0;nhap_luu;W26;Waterdemand2.dfs0;QLPH/26;;;no
APMYXEOLAXEOGIUA;3839.0;1;0;nhap_luu;W19;Waterdemand2.dfs0;WB/19;;;no
An Binh;17375.0;1;0;nhap_luu;PR/108;Waterdemand2.dfs0;PR/108;;;no
An Binh AG;2500.0;1;0;nhap_luu;LXQ/7;Waterdemand2.dfs0;LXQ/7;;;no
An Phong MH;61048.0;1;0;nhap_luu;PR/105;Waterdemand2.dfs0;PR/105;;;no
An Phong MH;78000.0;1;0;nhap_luu;PR/106;Waterdemand2.dfs0;PR/106;;;no
An Phong MH1;38122.0;1;0;nhap_luu;PR/104;Waterdemand2.dfs0;PR/104;;;no
B01;2631.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B02;1475.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B03;1858.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B04;10784.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B05;888.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B06;589.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B07;1178.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B08;843.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B09;1559.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B10;1635.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B11;4094.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B12;9490.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B13;5116.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B14;10528.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B15;9074.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B16;6537.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B17;1595.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B18;3164.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B19;1750.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B20;1006.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B21;4627.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B22;3775.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B23;1270.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B24;3835.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B25;5082.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B26;6275.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B27;10426.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B28;4248.0;1;0;nhap_luu;BL/92;Waterdemand2.dfs0;BL/92;;;no
B29;1909.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B30;8052.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
B31;408.0;1;0;nhap_luu;BL/93;Waterdemand2.dfs0;BL/93;;;no
BA AI 1;2000.0;1;0;nhap_luu;W37;Waterdemand2.dfs0;QLPH/37;;;no
BA CHIEU;7000.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
BA CHIEU;16000.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
BA CHIEU;19000.0;1;0;nhap_luu;W16;Waterdemand2.dfs0;WB/16;;;no
